skin_tone,recommended_outfit_(men),why_this_outfit_(men),shade,preferred_colors,style
Olive,Black Blouse + Charcoal Skirt,Matches olive skin tone with black/charcoal contrast.,Warm,"Earth Tones, Mustard",Business
Caramel,Emerald Green Top + Black Trousers,Matches caramel skin tone with emerald green/black contrast.,Cool,"Blue, White, Pastels",Elegant
Deep Tan,Light Brown Coat + Navy Boots,Matches deep tan skin tone with light brown/navy contrast.,Warm,"Earth Tones, Mustard",Party
Caramel,Sky Blue Sweater + White Jeans,Matches caramel skin tone with sky blue/white contrast.,Cool,"Blue, White, Pastels",Boho
Porcelain,Red Blouse + Black Skirt,Matches porcelain skin tone with red/black contrast.,Cool,"Blue, White, Pastels",Party
Light,Soft Gray Sweater + Charcoal Jeans,Matches light skin tone with soft gray/charcoal contrast.,Golden,"Deep Reds, Gold",Sporty
Warm Brown,Charcoal Blouse + Black Skirt,Matches warm brown skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Casual
Porcelain,Mint Green Dress + White Heels,Matches porcelain skin tone with mint green/white contrast.,Warm,"Earth Tones, Mustard",Formal
Olive,Burnt Orange Coat + Beige Boots,Matches olive skin tone with burnt orange/beige contrast.,Golden,"Deep Reds, Gold",Sporty
Honey,Red Blouse + Black Skirt,Matches honey skin tone with red/black contrast.,Cool,"Blue, White, Pastels",Sporty
Deep Dark,Gray Coat + Black Boots,Matches deep dark skin tone with gray/black contrast.,Cool,"Blue, White, Pastels",Party
Light,Sky Blue Top + White Trousers,Matches light skin tone with sky blue/white contrast.,Warm,"Earth Tones, Mustard",Casual
Warm Brown,Olive Green Top + Cream Trousers,Matches warm brown skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Boho
Honey,Dark Green Sweater + Brown Jeans,Matches honey skin tone with dark green/brown contrast.,Warm,"Earth Tones, Mustard",Boho
Fair,Soft Gray Blouse + Charcoal Skirt,Matches fair skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Streetwear
Medium,Gold Jacket + Dark Blue Pants,Matches medium skin tone with gold/dark blue contrast.,Cool,"Blue, White, Pastels",Business
Ebony,Olive Green Top + Cream Trousers,Matches ebony skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Casual
Tan,Beige Dress + White Heels,Matches tan skin tone with beige/white contrast.,Cool,"Blue, White, Pastels",Business
Dark,Silver Sweater + Burgundy Jeans,Matches dark skin tone with silver/burgundy contrast.,Balanced,Neutral Palette,Elegant
Fair,Mint Green Top + White Trousers,Matches fair skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Casual
Deep Tan,Red Top + Black Trousers,Matches deep tan skin tone with red/black contrast.,Golden,"Deep Reds, Gold",Sporty
Beige,Burgundy Dress + Black Heels,Matches beige skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Formal
Deep Tan,Peach Coat + Olive Boots,Matches deep tan skin tone with peach/olive contrast.,Balanced,Neutral Palette,Streetwear
Dark,Soft Gray Jacket + Charcoal Pants,Matches dark skin tone with soft gray/charcoal contrast.,Golden,"Deep Reds, Gold",Casual
Deep Tan,Black Blouse + Charcoal Skirt,Matches deep tan skin tone with black/charcoal contrast.,Deep,"Bold Colors, Navy",Boho
Honey,Black Top + Charcoal Trousers,Matches honey skin tone with black/charcoal contrast.,Deep,"Bold Colors, Navy",Sporty
Dark,Emerald Green Blouse + Black Skirt,Matches dark skin tone with emerald green/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Medium,Gold Blouse + Dark Blue Skirt,Matches medium skin tone with gold/dark blue contrast.,Golden,"Deep Reds, Gold",Formal
Tan,Burnt Orange Jacket + Beige Pants,Matches tan skin tone with burnt orange/beige contrast.,Balanced,Neutral Palette,Party
Deep Tan,Red Top + Black Trousers,Matches deep tan skin tone with red/black contrast.,Deep,"Bold Colors, Navy",Casual
Dark,Dark Green Blouse + Brown Skirt,Matches dark skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Business
Beige,Navy Blue Blouse + Beige Skirt,Matches beige skin tone with navy blue/beige contrast.,Cool,"Blue, White, Pastels",Streetwear
Medium,Burnt Orange Jacket + Beige Pants,Matches medium skin tone with burnt orange/beige contrast.,Balanced,Neutral Palette,Casual
Olive,Silver Coat + Burgundy Boots,Matches olive skin tone with silver/burgundy contrast.,Balanced,Neutral Palette,Elegant
Deep Dark,Gray Dress + Black Heels,Matches deep dark skin tone with gray/black contrast.,Deep,"Bold Colors, Navy",Streetwear
Light,Royal Blue Top + Silver Trousers,Matches light skin tone with royal blue/silver contrast.,Deep,"Bold Colors, Navy",Party
Medium,Soft Gray Top + Charcoal Trousers,Matches medium skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Business
Porcelain,White Jacket + Light Blue Pants,Matches porcelain skin tone with white/light blue contrast.,Balanced,Neutral Palette,Sporty
Dark,Sky Blue Dress + White Heels,Matches dark skin tone with sky blue/white contrast.,Deep,"Bold Colors, Navy",Business
Ebony,Soft Gray Dress + Charcoal Heels,Matches ebony skin tone with soft gray/charcoal contrast.,Deep,"Bold Colors, Navy",Business
Beige,Navy Blue Top + Beige Trousers,Matches beige skin tone with navy blue/beige contrast.,Golden,"Deep Reds, Gold",Formal
Warm Brown,Tan Sweater + Brown Jeans,Matches warm brown skin tone with tan/brown contrast.,Warm,"Earth Tones, Mustard",Streetwear
Deep Dark,Gray Top + Black Trousers,Matches deep dark skin tone with gray/black contrast.,Golden,"Deep Reds, Gold",Casual
Fair,Sky Blue Dress + White Heels,Matches fair skin tone with sky blue/white contrast.,Balanced,Neutral Palette,Streetwear
Tan,Dark Green Sweater + Brown Jeans,Matches tan skin tone with dark green/brown contrast.,Warm,"Earth Tones, Mustard",Sporty
Deep Dark,Black Blouse + Charcoal Skirt,Matches deep dark skin tone with black/charcoal contrast.,Deep,"Bold Colors, Navy",Sporty
Fair,Burgundy Sweater + Black Jeans,Matches fair skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Boho
Deep Tan,Red Coat + Black Boots,Matches deep tan skin tone with red/black contrast.,Cool,"Blue, White, Pastels",Business
Olive,Mustard Yellow Jacket + Brown Pants,Matches olive skin tone with mustard yellow/brown contrast.,Golden,"Deep Reds, Gold",Business
Deep Tan,Red Coat + Black Boots,Matches deep tan skin tone with red/black contrast.,Balanced,Neutral Palette,Elegant
Caramel,Burgundy Top + Black Trousers,Matches caramel skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Elegant
Caramel,Silver Dress + Burgundy Heels,Matches caramel skin tone with silver/burgundy contrast.,Golden,"Deep Reds, Gold",Casual
Fair,Gray Dress + Black Heels,Matches fair skin tone with gray/black contrast.,Deep,"Bold Colors, Navy",Formal
Beige,Charcoal Jacket + Black Pants,Matches beige skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Elegant
Deep Dark,Silver Jacket + Burgundy Pants,Matches deep dark skin tone with silver/burgundy contrast.,Balanced,Neutral Palette,Business
Ebony,Sky Blue Sweater + White Jeans,Matches ebony skin tone with sky blue/white contrast.,Balanced,Neutral Palette,Elegant
Fair,Tan Dress + Brown Heels,Matches fair skin tone with tan/brown contrast.,Cool,"Blue, White, Pastels",Party
Caramel,Gray Blouse + Black Skirt,Matches caramel skin tone with gray/black contrast.,Deep,"Bold Colors, Navy",Sporty
Deep Dark,Burgundy Sweater + Black Jeans,Matches deep dark skin tone with burgundy/black contrast.,Deep,"Bold Colors, Navy",Casual
Ebony,Emerald Green Blouse + Black Skirt,Matches ebony skin tone with emerald green/black contrast.,Golden,"Deep Reds, Gold",Elegant
Warm Brown,Silver Blouse + Burgundy Skirt,Matches warm brown skin tone with silver/burgundy contrast.,Deep,"Bold Colors, Navy",Streetwear
Tan,Deep Red Top + Gold Trousers,Matches tan skin tone with deep red/gold contrast.,Deep,"Bold Colors, Navy",Formal
Light,Beige Sweater + White Jeans,Matches light skin tone with beige/white contrast.,Balanced,Neutral Palette,Casual
Honey,Olive Green Sweater + Khaki Jeans,Matches honey skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Casual
Deep Tan,White Jacket + Light Blue Pants,Matches deep tan skin tone with white/light blue contrast.,Deep,"Bold Colors, Navy",Sporty
Honey,Olive Green Dress + Cream Heels,Matches honey skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Boho
Medium,Navy Blue Sweater + Beige Jeans,Matches medium skin tone with navy blue/beige contrast.,Deep,"Bold Colors, Navy",Party
Tan,Black Jacket + Charcoal Pants,Matches tan skin tone with black/charcoal contrast.,Warm,"Earth Tones, Mustard",Business
Medium,Dark Green Blouse + Brown Skirt,Matches medium skin tone with dark green/brown contrast.,Golden,"Deep Reds, Gold",Formal
Deep Tan,Silver Blouse + Burgundy Skirt,Matches deep tan skin tone with silver/burgundy contrast.,Deep,"Bold Colors, Navy",Elegant
Porcelain,Beige Blouse + White Skirt,Matches porcelain skin tone with beige/white contrast.,Cool,"Blue, White, Pastels",Boho
Porcelain,Emerald Green Dress + Black Heels,Matches porcelain skin tone with emerald green/black contrast.,Golden,"Deep Reds, Gold",Party
Honey,Deep Red Coat + Gold Boots,Matches honey skin tone with deep red/gold contrast.,Deep,"Bold Colors, Navy",Formal
Beige,Olive Green Blouse + Cream Skirt,Matches beige skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Sporty
Deep Tan,Burgundy Sweater + Black Jeans,Matches deep tan skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Streetwear
Porcelain,Deep Red Sweater + Gold Jeans,Matches porcelain skin tone with deep red/gold contrast.,Golden,"Deep Reds, Gold",Boho
Porcelain,Sky Blue Jacket + White Pants,Matches porcelain skin tone with sky blue/white contrast.,Balanced,Neutral Palette,Sporty
Medium,Silver Jacket + Burgundy Pants,Matches medium skin tone with silver/burgundy contrast.,Cool,"Blue, White, Pastels",Streetwear
Caramel,Soft Gray Coat + Charcoal Boots,Matches caramel skin tone with soft gray/charcoal contrast.,Deep,"Bold Colors, Navy",Streetwear
Light,Mustard Yellow Jacket + Brown Pants,Matches light skin tone with mustard yellow/brown contrast.,Balanced,Neutral Palette,Casual
Honey,Tan Coat + Brown Boots,Matches honey skin tone with tan/brown contrast.,Warm,"Earth Tones, Mustard",Streetwear
Tan,Light Brown Top + Navy Trousers,Matches tan skin tone with light brown/navy contrast.,Deep,"Bold Colors, Navy",Boho
Olive,Beige Blouse + White Skirt,Matches olive skin tone with beige/white contrast.,Warm,"Earth Tones, Mustard",Elegant
Warm Brown,Dark Green Coat + Brown Boots,Matches warm brown skin tone with dark green/brown contrast.,Warm,"Earth Tones, Mustard",Business
Honey,Olive Green Dress + Khaki Heels,Matches honey skin tone with olive green/khaki contrast.,Balanced,Neutral Palette,Streetwear
Deep Dark,Royal Blue Dress + Silver Heels,Matches deep dark skin tone with royal blue/silver contrast.,Warm,"Earth Tones, Mustard",Sporty
Dark,Light Brown Coat + Navy Boots,Matches dark skin tone with light brown/navy contrast.,Warm,"Earth Tones, Mustard",Elegant
Deep Tan,Mustard Yellow Top + Brown Trousers,Matches deep tan skin tone with mustard yellow/brown contrast.,Warm,"Earth Tones, Mustard",Boho
Fair,Charcoal Jacket + Black Pants,Matches fair skin tone with charcoal/black contrast.,Cool,"Blue, White, Pastels",Casual
Ebony,Olive Green Dress + Cream Heels,Matches ebony skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Elegant
Ebony,Red Top + Black Trousers,Matches ebony skin tone with red/black contrast.,Warm,"Earth Tones, Mustard",Formal
Caramel,Dark Green Dress + Brown Heels,Matches caramel skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Formal
Caramel,Sky Blue Dress + White Heels,Matches caramel skin tone with sky blue/white contrast.,Cool,"Blue, White, Pastels",Party
Honey,Light Brown Top + Navy Trousers,Matches honey skin tone with light brown/navy contrast.,Warm,"Earth Tones, Mustard",Boho
Tan,Mint Green Jacket + White Pants,Matches tan skin tone with mint green/white contrast.,Deep,"Bold Colors, Navy",Formal
Warm Brown,Red Coat + Black Boots,Matches warm brown skin tone with red/black contrast.,Balanced,Neutral Palette,Business
Porcelain,Peach Top + Olive Trousers,Matches porcelain skin tone with peach/olive contrast.,Warm,"Earth Tones, Mustard",Party
Fair,Peach Jacket + Olive Pants,Matches fair skin tone with peach/olive contrast.,Golden,"Deep Reds, Gold",Party
Porcelain,Tan Blouse + Brown Skirt,Matches porcelain skin tone with tan/brown contrast.,Balanced,Neutral Palette,Sporty
Beige,Burgundy Coat + Black Boots,Matches beige skin tone with burgundy/black contrast.,Deep,"Bold Colors, Navy",Elegant
Warm Brown,Navy Blue Coat + Beige Boots,Matches warm brown skin tone with navy blue/beige contrast.,Cool,"Blue, White, Pastels",Elegant
Caramel,Peach Jacket + Olive Pants,Matches caramel skin tone with peach/olive contrast.,Warm,"Earth Tones, Mustard",Business
Olive,Sky Blue Jacket + White Pants,Matches olive skin tone with sky blue/white contrast.,Balanced,Neutral Palette,Sporty
Light,White Blouse + Light Blue Skirt,Matches light skin tone with white/light blue contrast.,Warm,"Earth Tones, Mustard",Casual
Warm Brown,Black Top + Charcoal Trousers,Matches warm brown skin tone with black/charcoal contrast.,Deep,"Bold Colors, Navy",Streetwear
Light,Emerald Green Sweater + Black Jeans,Matches light skin tone with emerald green/black contrast.,Warm,"Earth Tones, Mustard",Boho
Beige,Olive Green Top + Khaki Trousers,Matches beige skin tone with olive green/khaki contrast.,Deep,"Bold Colors, Navy",Streetwear
Porcelain,Gray Jacket + Black Pants,Matches porcelain skin tone with gray/black contrast.,Cool,"Blue, White, Pastels",Casual
Warm Brown,Tan Coat + Brown Boots,Matches warm brown skin tone with tan/brown contrast.,Balanced,Neutral Palette,Boho
Tan,White Sweater + Light Blue Jeans,Matches tan skin tone with white/light blue contrast.,Warm,"Earth Tones, Mustard",Sporty
Beige,Mint Green Blouse + White Skirt,Matches beige skin tone with mint green/white contrast.,Cool,"Blue, White, Pastels",Party
Deep Tan,Burgundy Coat + Black Boots,Matches deep tan skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Elegant
Light,Navy Blue Top + Beige Trousers,Matches light skin tone with navy blue/beige contrast.,Deep,"Bold Colors, Navy",Streetwear
Olive,White Blouse + Light Blue Skirt,Matches olive skin tone with white/light blue contrast.,Balanced,Neutral Palette,Party
Warm Brown,Black Dress + Charcoal Heels,Matches warm brown skin tone with black/charcoal contrast.,Golden,"Deep Reds, Gold",Business
Deep Dark,White Dress + Light Blue Heels,Matches deep dark skin tone with white/light blue contrast.,Warm,"Earth Tones, Mustard",Boho
Medium,Olive Green Top + Cream Trousers,Matches medium skin tone with olive green/cream contrast.,Warm,"Earth Tones, Mustard",Casual
Dark,Burgundy Top + Black Trousers,Matches dark skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Boho
Olive,Olive Green Sweater + Cream Jeans,Matches olive skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Elegant
Dark,Tan Jacket + Brown Pants,Matches dark skin tone with tan/brown contrast.,Warm,"Earth Tones, Mustard",Party
Fair,Olive Green Coat + Khaki Boots,Matches fair skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Party
Deep Tan,Light Blue Dress + Tan Heels,Matches deep tan skin tone with light blue/tan contrast.,Balanced,Neutral Palette,Party
Fair,Red Blouse + Black Skirt,Matches fair skin tone with red/black contrast.,Deep,"Bold Colors, Navy",Boho
Caramel,Light Brown Jacket + Navy Pants,Matches caramel skin tone with light brown/navy contrast.,Golden,"Deep Reds, Gold",Boho
Dark,Navy Blue Blouse + Beige Skirt,Matches dark skin tone with navy blue/beige contrast.,Balanced,Neutral Palette,Business
Deep Tan,Burnt Orange Dress + Beige Heels,Matches deep tan skin tone with burnt orange/beige contrast.,Cool,"Blue, White, Pastels",Streetwear
Porcelain,Light Blue Coat + Tan Boots,Matches porcelain skin tone with light blue/tan contrast.,Deep,"Bold Colors, Navy",Casual
Deep Dark,Navy Blue Sweater + Beige Jeans,Matches deep dark skin tone with navy blue/beige contrast.,Golden,"Deep Reds, Gold",Formal
Deep Tan,Charcoal Top + Black Trousers,Matches deep tan skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Boho
Olive,Light Brown Sweater + Navy Jeans,Matches olive skin tone with light brown/navy contrast.,Warm,"Earth Tones, Mustard",Elegant
Deep Tan,Burnt Orange Jacket + Beige Pants,Matches deep tan skin tone with burnt orange/beige contrast.,Deep,"Bold Colors, Navy",Boho
Medium,Tan Sweater + Brown Jeans,Matches medium skin tone with tan/brown contrast.,Golden,"Deep Reds, Gold",Streetwear
Medium,White Jacket + Light Blue Pants,Matches medium skin tone with white/light blue contrast.,Warm,"Earth Tones, Mustard",Elegant
Olive,Red Sweater + Black Jeans,Matches olive skin tone with red/black contrast.,Cool,"Blue, White, Pastels",Sporty
Tan,Tan Blouse + Brown Skirt,Matches tan skin tone with tan/brown contrast.,Golden,"Deep Reds, Gold",Streetwear
Deep Dark,Charcoal Sweater + Black Jeans,Matches deep dark skin tone with charcoal/black contrast.,Deep,"Bold Colors, Navy",Business
Tan,Burgundy Dress + Black Heels,Matches tan skin tone with burgundy/black contrast.,Balanced,Neutral Palette,Formal
Deep Tan,Burgundy Jacket + Black Pants,Matches deep tan skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Formal
Dark,Gold Blouse + Dark Blue Skirt,Matches dark skin tone with gold/dark blue contrast.,Warm,"Earth Tones, Mustard",Elegant
Ebony,Light Brown Blouse + Navy Skirt,Matches ebony skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Elegant
Dark,Charcoal Top + Black Trousers,Matches dark skin tone with charcoal/black contrast.,Golden,"Deep Reds, Gold",Party
Dark,Deep Red Jacket + Gold Pants,Matches dark skin tone with deep red/gold contrast.,Golden,"Deep Reds, Gold",Casual
Deep Tan,Charcoal Sweater + Black Jeans,Matches deep tan skin tone with charcoal/black contrast.,Cool,"Blue, White, Pastels",Casual
Beige,Silver Jacket + Burgundy Pants,Matches beige skin tone with silver/burgundy contrast.,Warm,"Earth Tones, Mustard",Elegant
Tan,Light Brown Sweater + Navy Jeans,Matches tan skin tone with light brown/navy contrast.,Deep,"Bold Colors, Navy",Boho
Light,Tan Coat + Brown Boots,Matches light skin tone with tan/brown contrast.,Golden,"Deep Reds, Gold",Sporty
Tan,Soft Gray Blouse + Charcoal Skirt,Matches tan skin tone with soft gray/charcoal contrast.,Deep,"Bold Colors, Navy",Casual
Caramel,Burnt Orange Jacket + Beige Pants,Matches caramel skin tone with burnt orange/beige contrast.,Cool,"Blue, White, Pastels",Party
Beige,Emerald Green Dress + Black Heels,Matches beige skin tone with emerald green/black contrast.,Golden,"Deep Reds, Gold",Boho
Porcelain,Mint Green Sweater + White Jeans,Matches porcelain skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Business
Warm Brown,Peach Dress + Olive Heels,Matches warm brown skin tone with peach/olive contrast.,Golden,"Deep Reds, Gold",Party
Deep Dark,Beige Sweater + White Jeans,Matches deep dark skin tone with beige/white contrast.,Golden,"Deep Reds, Gold",Elegant
Light,Tan Dress + Brown Heels,Matches light skin tone with tan/brown contrast.,Golden,"Deep Reds, Gold",Casual
Tan,Dark Green Dress + Brown Heels,Matches tan skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Boho
Deep Tan,Mustard Yellow Jacket + Brown Pants,Matches deep tan skin tone with mustard yellow/brown contrast.,Warm,"Earth Tones, Mustard",Casual
Honey,Mustard Yellow Blouse + Brown Skirt,Matches honey skin tone with mustard yellow/brown contrast.,Warm,"Earth Tones, Mustard",Party
Deep Tan,Black Dress + Dark Denim Heels,Matches deep tan skin tone with black/dark denim contrast.,Warm,"Earth Tones, Mustard",Sporty
Dark,Silver Blouse + Burgundy Skirt,Matches dark skin tone with silver/burgundy contrast.,Warm,"Earth Tones, Mustard",Sporty
Dark,Black Top + Charcoal Trousers,Matches dark skin tone with black/charcoal contrast.,Warm,"Earth Tones, Mustard",Boho
Dark,Light Blue Blouse + Tan Skirt,Matches dark skin tone with light blue/tan contrast.,Warm,"Earth Tones, Mustard",Formal
Tan,Burnt Orange Blouse + Beige Skirt,Matches tan skin tone with burnt orange/beige contrast.,Warm,"Earth Tones, Mustard",Streetwear
Honey,Olive Green Top + Cream Trousers,Matches honey skin tone with olive green/cream contrast.,Deep,"Bold Colors, Navy",Boho
Light,White Sweater + Light Blue Jeans,Matches light skin tone with white/light blue contrast.,Cool,"Blue, White, Pastels",Casual
Porcelain,Tan Blouse + Brown Skirt,Matches porcelain skin tone with tan/brown contrast.,Deep,"Bold Colors, Navy",Casual
Beige,Burnt Orange Top + Beige Trousers,Matches beige skin tone with burnt orange/beige contrast.,Golden,"Deep Reds, Gold",Casual
Dark,Royal Blue Sweater + Silver Jeans,Matches dark skin tone with royal blue/silver contrast.,Balanced,Neutral Palette,Formal
Light,Royal Blue Jacket + Silver Pants,Matches light skin tone with royal blue/silver contrast.,Deep,"Bold Colors, Navy",Casual
Honey,Red Coat + Black Boots,Matches honey skin tone with red/black contrast.,Deep,"Bold Colors, Navy",Party
Light,Black Dress + Dark Denim Heels,Matches light skin tone with black/dark denim contrast.,Balanced,Neutral Palette,Boho
Dark,Silver Blouse + Burgundy Skirt,Matches dark skin tone with silver/burgundy contrast.,Balanced,Neutral Palette,Elegant
Light,Gray Dress + Black Heels,Matches light skin tone with gray/black contrast.,Warm,"Earth Tones, Mustard",Elegant
Honey,Gray Jacket + Black Pants,Matches honey skin tone with gray/black contrast.,Deep,"Bold Colors, Navy",Sporty
Medium,Soft Gray Dress + Charcoal Heels,Matches medium skin tone with soft gray/charcoal contrast.,Deep,"Bold Colors, Navy",Elegant
Olive,Light Brown Top + Navy Trousers,Matches olive skin tone with light brown/navy contrast.,Cool,"Blue, White, Pastels",Casual
Deep Tan,Olive Green Top + Cream Trousers,Matches deep tan skin tone with olive green/cream contrast.,Golden,"Deep Reds, Gold",Sporty
Fair,Beige Blouse + White Skirt,Matches fair skin tone with beige/white contrast.,Warm,"Earth Tones, Mustard",Elegant
Honey,Sky Blue Jacket + White Pants,Matches honey skin tone with sky blue/white contrast.,Warm,"Earth Tones, Mustard",Sporty
Tan,Light Brown Coat + Navy Boots,Matches tan skin tone with light brown/navy contrast.,Deep,"Bold Colors, Navy",Casual
Honey,Tan Jacket + Brown Pants,Matches honey skin tone with tan/brown contrast.,Golden,"Deep Reds, Gold",Boho
Deep Tan,White Top + Light Blue Trousers,Matches deep tan skin tone with white/light blue contrast.,Golden,"Deep Reds, Gold",Business
Light,Deep Red Sweater + Gold Jeans,Matches light skin tone with deep red/gold contrast.,Deep,"Bold Colors, Navy",Boho
Tan,Charcoal Jacket + Black Pants,Matches tan skin tone with charcoal/black contrast.,Balanced,Neutral Palette,Elegant
Warm Brown,Gold Coat + Dark Blue Boots,Matches warm brown skin tone with gold/dark blue contrast.,Deep,"Bold Colors, Navy",Elegant
Dark,Deep Red Blouse + Gold Skirt,Matches dark skin tone with deep red/gold contrast.,Cool,"Blue, White, Pastels",Formal
Deep Dark,Tan Blouse + Brown Skirt,Matches deep dark skin tone with tan/brown contrast.,Balanced,Neutral Palette,Streetwear
Medium,Burgundy Sweater + Black Jeans,Matches medium skin tone with burgundy/black contrast.,Warm,"Earth Tones, Mustard",Business
Porcelain,Burgundy Blouse + Black Skirt,Matches porcelain skin tone with burgundy/black contrast.,Cool,"Blue, White, Pastels",Party
Tan,Royal Blue Dress + Silver Heels,Matches tan skin tone with royal blue/silver contrast.,Golden,"Deep Reds, Gold",Party
Beige,Deep Red Dress + Gold Heels,Matches beige skin tone with deep red/gold contrast.,Deep,"Bold Colors, Navy",Streetwear
Light,Black Sweater + Charcoal Jeans,Matches light skin tone with black/charcoal contrast.,Balanced,Neutral Palette,Business
Tan,Charcoal Sweater + Black Jeans,Matches tan skin tone with charcoal/black contrast.,Deep,"Bold Colors, Navy",Elegant
Olive,Gold Top + Dark Blue Trousers,Matches olive skin tone with gold/dark blue contrast.,Cool,"Blue, White, Pastels",Elegant
Fair,Peach Top + Olive Trousers,Matches fair skin tone with peach/olive contrast.,Deep,"Bold Colors, Navy",Business
Caramel,Soft Gray Sweater + Charcoal Jeans,Matches caramel skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Streetwear
Honey,Burnt Orange Top + Beige Trousers,Matches honey skin tone with burnt orange/beige contrast.,Golden,"Deep Reds, Gold",Boho
Light,Mint Green Dress + White Heels,Matches light skin tone with mint green/white contrast.,Deep,"Bold Colors, Navy",Streetwear
Warm Brown,Mint Green Coat + White Boots,Matches warm brown skin tone with mint green/white contrast.,Warm,"Earth Tones, Mustard",Elegant
Tan,Olive Green Dress + Khaki Heels,Matches tan skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Business
Caramel,Mint Green Sweater + White Jeans,Matches caramel skin tone with mint green/white contrast.,Cool,"Blue, White, Pastels",Party
Fair,Olive Green Sweater + Cream Jeans,Matches fair skin tone with olive green/cream contrast.,Golden,"Deep Reds, Gold",Sporty
Beige,Burnt Orange Sweater + Beige Jeans,Matches beige skin tone with burnt orange/beige contrast.,Warm,"Earth Tones, Mustard",Party
Olive,Navy Blue Top + Beige Trousers,Matches olive skin tone with navy blue/beige contrast.,Cool,"Blue, White, Pastels",Elegant
Honey,Sky Blue Dress + White Heels,Matches honey skin tone with sky blue/white contrast.,Golden,"Deep Reds, Gold",Sporty
Deep Tan,Olive Green Blouse + Khaki Skirt,Matches deep tan skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Sporty
Fair,Olive Green Coat + Khaki Boots,Matches fair skin tone with olive green/khaki contrast.,Golden,"Deep Reds, Gold",Sporty
Caramel,Burnt Orange Dress + Beige Heels,Matches caramel skin tone with burnt orange/beige contrast.,Golden,"Deep Reds, Gold",Formal
Deep Dark,White Dress + Light Blue Heels,Matches deep dark skin tone with white/light blue contrast.,Warm,"Earth Tones, Mustard",Casual
Warm Brown,Olive Green Sweater + Khaki Jeans,Matches warm brown skin tone with olive green/khaki contrast.,Balanced,Neutral Palette,Elegant
Medium,Black Blouse + Dark Denim Skirt,Matches medium skin tone with black/dark denim contrast.,Warm,"Earth Tones, Mustard",Casual
Warm Brown,Burgundy Dress + Black Heels,Matches warm brown skin tone with burgundy/black contrast.,Golden,"Deep Reds, Gold",Elegant
Caramel,Silver Dress + Burgundy Heels,Matches caramel skin tone with silver/burgundy contrast.,Golden,"Deep Reds, Gold",Elegant
Fair,Soft Gray Dress + Charcoal Heels,Matches fair skin tone with soft gray/charcoal contrast.,Balanced,Neutral Palette,Elegant
Honey,Dark Green Sweater + Brown Jeans,Matches honey skin tone with dark green/brown contrast.,Balanced,Neutral Palette,Sporty
Beige,Beige Blouse + White Skirt,Matches beige skin tone with beige/white contrast.,Golden,"Deep Reds, Gold",Business
Medium,Mint Green Top + White Trousers,Matches medium skin tone with mint green/white contrast.,Golden,"Deep Reds, Gold",Casual
Porcelain,Light Blue Blouse + Tan Skirt,Matches porcelain skin tone with light blue/tan contrast.,Cool,"Blue, White, Pastels",Business
Warm Brown,Red Coat + Black Boots,Matches warm brown skin tone with red/black contrast.,Golden,"Deep Reds, Gold",Formal
Honey,Black Sweater + Dark Denim Jeans,Matches honey skin tone with black/dark denim contrast.,Warm,"Earth Tones, Mustard",Sporty
Deep Dark,Olive Green Blouse + Khaki Skirt,Matches deep dark skin tone with olive green/khaki contrast.,Deep,"Bold Colors, Navy",Streetwear
Deep Dark,Tan Sweater + Brown Jeans,Matches deep dark skin tone with tan/brown contrast.,Warm,"Earth Tones, Mustard",Elegant
Beige,Silver Jacket + Burgundy Pants,Matches beige skin tone with silver/burgundy contrast.,Deep,"Bold Colors, Navy",Formal
